# transcript_id	gene_id	transcript_biotype	number_of_samples_in_which_the_gene_is_expressed
ENST00000000233 ENSG00000004059 protein_coding 15
ENST00000002165 ENSG00000001036 protein_coding 16
ENST00000003912 ENSG00000001461 protein_coding 16
ENST00000004921 ENSG00000006074 protein_coding 12
ENST00000004982 ENSG00000004776 protein_coding 15
ENST00000005257 ENSG00000006451 protein_coding 16
ENST00000005340 ENSG00000004975 protein_coding 16
ENST00000006101 ENSG00000005243 protein_coding 16
ENST00000006275 ENSG00000007255 protein_coding 16
ENST00000006724 ENSG00000007306 protein_coding 1
ENST00000007390 ENSG00000007520 protein_coding 16
ENST00000007699 ENSG00000006047 protein_coding 12
ENST00000008938 ENSG00000008438 protein_coding 5
ENST00000011619 ENSG00000010017 protein_coding 16
ENST00000011653 ENSG00000010610 protein_coding 16
ENST00000013222 ENSG00000241644 protein_coding 15
ENST00000014930 ENSG00000013583 protein_coding 16
ENST00000020926 ENSG00000019505 protein_coding 6
ENST00000020945 ENSG00000019549 protein_coding 14
ENST00000023064 ENSG00000021488 protein_coding 8
ENST00000025301 ENSG00000023516 protein_coding 16
ENST00000026464 ENSG00000024862 protein_coding 15
ENST00000031146 ENSG00000029364 processed_transcript 16
ENST00000033079 ENSG00000031003 protein_coding 16
ENST00000034275 ENSG00000031823 protein_coding 16
ENST00000035307 ENSG00000033100 protein_coding 16
ENST00000040584 ENSG00000037965 protein_coding 8
ENST00000042931 ENSG00000039987 protein_coding 1
ENST00000053468 ENSG00000048544 protein_coding 15
ENST00000064571 ENSG00000054803 protein_coding 4
ENST00000064778 ENSG00000054965 protein_coding 16
ENST00000066544 ENSG00000004897 protein_coding 16
ENST00000078429 ENSG00000088256 protein_coding 15
ENST00000078527 ENSG00000060642 protein_coding 16
ENST00000083182 ENSG00000062725 protein_coding 16
ENST00000084798 ENSG00000063180 protein_coding 15
ENST00000156109 ENSG00000068394 protein_coding 16
ENST00000157600 ENSG00000071282 protein_coding 15
ENST00000157812 ENSG00000013275 protein_coding 16
ENST00000158009 ENSG00000073598 protein_coding 15
ENST00000158762 ENSG00000072818 protein_coding 16
ENST00000158771 ENSG00000072849 protein_coding 16
ENST00000159087 ENSG00000074855 protein_coding 16
ENST00000159111 ENSG00000127663 protein_coding 16
ENST00000160262 ENSG00000076662 protein_coding 16
ENST00000160740 ENSG00000079432 protein_coding 16
ENST00000161006 ENSG00000005001 protein_coding 7
ENST00000162044 ENSG00000064545 protein_coding 11
ENST00000162391 ENSG00000065970 protein_coding 16
ENST00000164227 ENSG00000069399 protein_coding 16
ENST00000166139 ENSG00000070404 protein_coding 16
ENST00000169551 ENSG00000075336 protein_coding 16
ENST00000170150 ENSG00000078898 protein_coding 3
ENST00000170447 ENSG00000075975 protein_coding 16
ENST00000170564 ENSG00000076650 protein_coding 16
ENST00000171214 ENSG00000080511 protein_coding 2
ENST00000172229 ENSG00000064300 protein_coding 14
ENST00000173527 ENSG00000066583 protein_coding 16
ENST00000174618 ENSG00000070444 protein_coding 16
ENST00000175091 ENSG00000068697 protein_coding 16
ENST00000176195 ENSG00000070031 protein_coding 4
ENST00000177694 ENSG00000073861 protein_coding 10
