"NMD" "NMD_derived" "Longest" "APPRIS_imputed" "Pervasive_imputed" "Longest_length" "Percentage_seq_imputed" "Domain_INFO" "Domain_percentage_imputed" "MaxPerDomain_imputed" "number_of_100_damaged_imputed" "Domain_matched_imputed" "Site_INFO" "Site_percentage_imputed" "MaxPerSite_imputed" "number_of_100_damaged_Site_imputed" "Site_matched_imputed" "IImunity" "Antiviral" "ISG" "OMIMrecessive" "pRDG" "RVIS" "group"
"1" "1" "0" "1" "1" "1" "4635" "15.2750809061489" "1" "14.9117069980379" "100" "1" "1" "0" "15.2750809061489" "100" "1" "0" "0" "0" "0" "1" "0.239136941" "0.955252644" "Non_Pathogenic_stop"
"2" "1" "0" "1" "1" "1" "2415" "49.5652173913044" "1" "100" "100" "7" "0" "0" "49.5652173913044" "100" "1" "0" "0" "0" "0" "0" "0.120148102" "1.006742856" "Non_Pathogenic_stop"
"3" "0" "0" "1" "1" "1" "681" "36.8575624082232" "1" "36.8575624082232" "36.8653421633554" "0" "1" "1" "100" "100" "3" "0" "0" "0" "0" "0" "NaN" "-0.047654689" "Non_Pathogenic_stop"
"4" "1" "0" "1" "1" "1" "3681" "37.4626460201032" "1" "22.360248447205" "100" "3" "0" "0" "37.4626460201032" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.019682101" "Non_Pathogenic_stop"
"5" "1" "0" "1" "1" "1" "321" "65.4205607476636" "0" "65.4205607476636" "100" "1" "1" "0" "65.4205607476636" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.72397987" "Non_Pathogenic_stop"
"6" "1" "0" "1" "0" "1" "2955" "45.414551607445" "1" "100" "100" "4" "0" "1" "100" "100" "10" "0" "0" "0" "0" "0" "0.161214237" "0.371028035" "Non_Pathogenic_stop"
"7" "1" "0" "1" "1" "1" "2616" "24.2737003058104" "0" "24.2737003058104" "100" "1" "1" "0" "24.2737003058104" "100" "1" "0" "0" "0" "0" "0" "0.098586399" "0.558509856" "Non_Pathogenic_stop"
"8" "0" "0" "1" "1" "1" "4023" "91.8717375093214" "1" "51.6339869281046" "100" "6" "1" "0" "91.8717375093214" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.702925512" "Non_Pathogenic_stop"
"9" "0" "0" "1" "1" "1" "960" "6.25" "1" "6.25" "6.28930817610063" "0" "1" "0" "6.25" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.619191319" "Non_Pathogenic_stop"
"10" "0" "0" "1" "1" "1" "2058" "9.62099125364431" "1" "16.9712793733681" "100" "2" "1" "0" "9.62099125364431" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"11" "1" "0" "1" "1" "1" "1788" "73.1242312423124" "1" "77.5603392041748" "100" "3" "1" "1" "50" "100" "1" "0" "1" "0" "0" "0" "0.084437828" "-0.554717505" "Non_Pathogenic_stop"
"12" "1" "0" "1" "1" "1" "3678" "29.9619358346928" "1" "26.7013437364543" "100" "2" "1" "0" "29.9619358346928" "100" "1" "0" "0" "0" "0" "0" "0.123332067" "-0.5513802" "Non_Pathogenic_stop"
"13" "1" "0" "1" "1" "1" "1464" "88.483547925608" "1" "100" "100" "17" "0" "1" "100" "100" "1" "0" "0" "0" "0" "0" "0.327438673" "-0.156065314" "Non_Pathogenic_stop"
"14" "1" "0" "1" "1" "1" "267" "88.7640449438202" "1" "92.5925925925926" "100" "3" "1" "0" "88.7640449438202" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"15" "1" "0" "1" "1" "1" "1857" "98.5342019543974" "1" "100" "100" "7" "0" "1" "100" "100" "1" "0" "0" "0" "0" "1" "0.168107057" "-0.332434268" "Non_Pathogenic_stop"
"16" "1" "0" "1" "1" "1" "1470" "86.1904761904762" "1" "89.4550601556971" "100" "8" "1" "1" "100" "100" "1" "0" "0" "0" "0" "0" "0.248385859" "1.177658736" "Non_Pathogenic_stop"
"17" "1" "0" "1" "1" "1" "1527" "78.1925343811395" "1" "78.1925343811395" "100" "12" "1" "1" "100" "100" "5" "0" "0" "0" "0" "0" "0.92580614" "-0.288341872" "Non_Pathogenic_stop"
"18" "0" "0" "1" "1" "1" "1401" "3.85438972162741" "1" "3.85438972162741" "16.4835164835165" "0" "1" "0" "3.85438972162741" "100" "1" "0" "0" "0" "0" "0" "0.282837777" "1.576373448" "Non_Pathogenic_stop"
"19" "1" "0" "1" "1" "1" "1023" "63.6363636363636" "1" "100" "100" "7" "0" "0" "63.6363636363636" "100" "1" "0" "1" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"20" "0" "0" "1" "1" "1" "2667" "20.9598800149981" "1" "100" "100" "3" "1" "0" "20.9598800149981" "100" "1" "0" "0" "0" "0" "0" "0.123344311" "0.672386703" "Non_Pathogenic_stop"
"21" "0" "0" "1" "1" "1" "966" "4.86542443064182" "1" "4.88058151609553" "4.88058151609553" "0" "1" "0" "4.86542443064182" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.464302001" "Non_Pathogenic_stop"
"22" "1" "0" "1" "1" "1" "534" "61.6104868913858" "1" "100" "100" "1" "0" "0" "61.6104868913858" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.880130671" "Non_Pathogenic_stop"
"23" "1" "0" "1" "1" "1" "651" "85.5606758832565" "0" "85.5606758832565" "100" "1" "1" "0" "85.5606758832565" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.795569043" "Non_Pathogenic_stop"
"24" "1" "0" "1" "1" "1" "909" "94.0594059405941" "1" "100" "100" "3" "0" "0" "94.0594059405941" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.637604436" "Non_Pathogenic_stop"
"25" "0" "0" "1" "1" "1" "909" "91.1991199119912" "1" "91.5525114155251" "100" "7" "1" "0" "91.1991199119912" "100" "1" "0" "0" "0" "0" "0" "NaN" "-0.312207497" "Non_Pathogenic_stop"
"26" "0" "0" "1" "1" "1" "915" "10.6010928961749" "1" "9.94350282485876" "100" "1" "1" "0" "10.6010928961749" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.065168262" "Non_Pathogenic_stop"
"27" "0" "0" "1" "1" "1" "987" "47.2137791286727" "1" "52.316384180791" "100" "4" "1" "0" "47.2137791286727" "100" "1" "0" "0" "0" "0" "0" "NaN" "-0.067881249" "Non_Pathogenic_stop"
"28" "0" "0" "1" "1" "1" "933" "2.89389067524116" "1" "2.31788079470199" "2.31788079470199" "0" "1" "0" "2.89389067524116" "100" "1" "0" "0" "0" "0" "0" "0.088626929" "1.820761234" "Non_Pathogenic_stop"
"29" "0" "0" "1" "1" "1" "951" "25.8675078864353" "1" "24.3421052631579" "100" "3" "1" "0" "25.8675078864353" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.754408354" "Non_Pathogenic_stop"
"30" "0" "0" "1" "1" "1" "942" "95.5414012738854" "1" "100" "100" "11" "0" "0" "95.5414012738854" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.754408354" "Non_Pathogenic_stop"
"31" "0" "0" "1" "1" "1" "930" "94.8387096774194" "1" "96.2962962962963" "100" "9" "1" "0" "94.8387096774194" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.469464962" "Non_Pathogenic_stop"
"32" "0" "0" "1" "1" "1" "930" "49.6774193548387" "1" "48.993288590604" "100" "4" "1" "0" "49.6774193548387" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.796891089" "Non_Pathogenic_stop"
"33" "0" "0" "1" "1" "1" "936" "79.9145299145299" "1" "80.3790412486065" "100" "8" "1" "0" "79.9145299145299" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.174022298" "Non_Pathogenic_stop"
"34" "0" "0" "1" "1" "1" "930" "6.88172043010753" "1" "5.68306010928962" "36.1111111111111" "0" "1" "0" "6.88172043010753" "100" "1" "0" "0" "0" "0" "0" "0.083293372" "1.508403067" "Non_Pathogenic_stop"
