Gene_Name	pRDG
A1BG	0.31615396
A1CF	0.359992897
A2LD1	0.104827515
A2M	0.796183485
A2ML1	0.083306957
A3GALT2	0.09600631
A4GALT	0.221821593
A4GNT	0.088457635
AACS	0.238981721
AADAC	0.077268811
AADACL1	0.145238314
AADACL2	0.115855541
AADACL3	0.078131028
AADACL4	0.092823716
AADAT	0.128286196
AAK1	0.0954337
AAMP	0.122301693
AANAT	0.210959017
AARS	0.205431094
AARS2	0.112369726
AARSD1	0.087811669
AASDH	0.138322314
AASDHPPT	0.189377467
AATF	0.293816767
AATK	0.120935953
ABCA1	0.676028159
ABCA12	0.15786009
ABCA13	0.073338305
ABCA2	0.298222864
ABCA3	0.169875916
ABCA4	0.387631699
ABCA5	0.113489916
ABCA6	0.104946619
ABCA7	0.154838824
ABCB1	0.679811778
ABCB10	0.143384557
ABCB11	0.39265406
ABCB4	0.406892592
ABCB5	0.09307983
ABCB7	0.517123587
ABCB8	0.155360747
ABCB9	0.132858302
ABCC11	0.701097056
ABCC12	0.09094155
ABCC2	0.239136941
ABCC3	0.279473813
ABCC4	0.369538389
ABCC5	0.35905166
ABCC6P2	0.145799386
ABCC8	0.434689545
ABCC9	0.156859067
ABCD1	0.769425429
ABCD2	0.198894773
ABCD3	0.297326914
ABCD4	0.152593864
ABCE1	0.314625907
ABCF2	0.120168617
ABCF3	0.155135902
ABCG1	0.437224114
ABCG2	0.552120056
ABCG4	0.157347025
ABCG5	0.086678543
ABCG8	0.333030778
ABHD1	0.084097049
ABHD10	0.099630041
ABHD11	0.104017899
ABHD12B	0.083159525
ABHD13	0.112629347
ABHD14A	0.083792144
ABHD14B	0.089409302
ABHD2	0.122656694
ABHD3	0.102621905
ABHD4	0.111456034
ABHD5	0.162751687
ABHD6	0.418601944
ABHD7	0.102740976
ABHD8	0.110501225
ABHD9	0.11290169
ABI1	0.296887783
ABI2	0.191954492
ABI3	0.123882083
ABI3BP	0.100247719
ABL1	0.608843153
ABL2	0.212669271
ABLIM1	0.115246209
ABLIM2	0.105836178
ABLIM3	0.108433108
ABO	0.829491368
ABP1	0.720141051
ABRA	0.117278889
ABT1	0.112507515
ABTB1	0.113274325
ABTB2	0.107445152
ACAA1	0.695405399
ACAA2	0.366352509
ACACA	0.73160295
ACACB	0.411745499
ACAD10	0.494635432
ACAD11	0.20501347
ACAD8	0.249648421
ACAD9	0.223173767
ACADL	0.326296558
ACADM	0.721744067
ACADS	0.52588792
ACADSB	0.275213102
ACADVL	0.286436941
ACAN	0.570209953
ACAP1	0.099284178
ACAP2	0.115175796
ACAP3	0.110078547
ACAT1	0.479999504
ACAT2	0.258956962
ACBD3	0.135179014
ACBD4	0.081154274
ACBD5	0.070031892
ACBD6	0.106848868
ACBD7	0.091708416
ACCN2	0.174582729
ACCN4	0.107832271
ACCN5	0.09151866
ACCS	0.158259445
ACD	0.134306973
ACE	0.718761846
ACE2	0.283732451
ACER1	0.11016691
ACER2	0.085755281
ACER3	0.122143097
ACHE	0.443376505
ACIN1	0.423144446
ACLY	0.542663141
ACMSD	0.127878979
ACN9	0.087941429
ACO1	0.611515025
ACO2	0.782247789
ACOT1	0.122900169
ACOT11	0.139327142
ACOT12	0.179005295
ACOT2	0.108812358
ACOT4	0.100742519
ACOT6	0.090442838
ACOT7	0.74467621
ACOT8	0.412196756
ACOT9	0.091211591
ACOX1	0.771837879
ACOX2	0.147752025
ACOX3	0.634469511
ACOXL	0.079598926
ACP1	0.546559452
ACP2	0.464605309
ACP5	0.253982438
ACP6	0.232217416
ACPP	0.155603206
ACPT	0.276709477
ACR	0.259596465
ACRBP	0.110078241
ACRC	0.060406735
ACRV1	0.149512025
ACSBG1	0.21146975
ACSBG2	0.090817645
ACSF2	0.200890567
ACSL1	0.32858776
ACSL3	0.185622778
ACSL4	0.308011933
ACSL5	0.156813622
ACSL6	0.122097975
ACSM1	0.111499727
ACSM2A	0.067982495
ACSM2B	0.07290501
ACSM3	0.454813782
ACSM5	0.09249671
ACSS1	0.195391198
ACSS2	0.456803742
ACSS3	0.091909326
ACTA1	0.937215125
ACTA2	0.155881126
ACTBL2	0.626505944
ACTBL3	0.439169123
ACTC1	0.906757547
ACTG2	0.672885042
ACTL6A	0.718195079
ACTL6B	0.448369054
ACTL7A	0.108167746
ACTL7B	0.485355473
ACTL8	0.447971755
ACTN1	0.316327187
ACTN2	0.398856
ACTN4	0.728908538
ACTR10	0.105649047
ACTR1A	0.546268379
ACTR1B	0.5297436
ACTR2	0.108861234
ACTR3	0.142298242
ACTR3B	0.142298242
ACTR5	0.108311763
ACTR6	0.466104447
ACTR8	0.111057006
ACTRT2	0.446827948
ACVR1	0.384243266
ACVR1B	0.296866404
ACVR1C	0.154054896
ACVR2A	0.239842845
ACVR2B	0.314625907
ACVRL1	0.441261122
ACY1	0.276873038
ACY3	0.126066282
