Gene_Name	RVIS
A1BG	-0.466531444
A1CF	-0.378346116
A2LD1	0.189398298
A2M	0.099178678
A2ML1	2.41990149
A4GALT	-0.290161348
A4GNT	1.107875794
AAAS	-0.911109353
AACS	-1.170241634
AADAC	-0.091746757
AADACL2	-0.314027422
AADACL3	2.131332486
AADACL4	-0.622676946
AADAT	-0.117432389
AAED1	0.170987912
AAGAB	0.020302773
AAK1	-0.664951379
AAMP	0.040529541
AANAT	-0.069700724
AAR2	-0.312207497
AARS	-0.655870776
AARS2	1.14268501
AARSD1	-0.066061882
AASDH	1.054492917
AASDHPPT	-0.383807564
AASS	-0.905656269
AATF	-0.286522835
ABAT	-0.332434268
ABCA1	-0.239047284
ABCA10	1.037938929
ABCA12	-0.299763455
ABCA13	4.730312816
ABCA2	-4.237700156
ABCA3	-1.477690451
ABCA4	0.736662821
ABCA5	0.771533118
ABCA6	0.264439529
ABCA7	-2.151227095
ABCA8	0.909319045
ABCA9	-0.001957219
ABCB1	0.099178678
ABCB10	-0.134019284
ABCB11	-1.140954241
ABCB4	-0.545632343
ABCB5	4.176155702
ABCB6	-0.369255208
ABCB7	0.861712133
ABCB8	0.295774947
ABCB9	-1.815166288
ABCC1	-0.841660883
ABCC10	-1.705402241
ABCC11	1.624127851
ABCC12	1.111434312
ABCC2	0.955252644
ABCC3	0.690669139
ABCC4	0.214875663
ABCC5	-1.967739992
ABCC6	0.626356326
ABCC8	-2.091107194
ABCC9	-1.967739992
ABCD1	-0.53631094
ABCD2	-0.091746757
ABCD3	-0.646543901
ABCD4	0.804668134
ABCE1	-0.251530012
ABCF1	-0.222203495
ABCF2	-0.466531444
ABCF3	-0.771553417
ABCG1	-1.374132436
ABCG2	-0.198338176
ABCG4	-0.067881249
ABCG5	1.161078613
ABCG8	0.744001103
ABHD1	-0.110153916
ABHD10	0.595326758
ABHD11	-0.404032746
ABHD12	-0.157884861
ABHD12B	1.039913547
ABHD13	-0.317668748
ABHD14A	0.773521534
ABHD14B	0.215080721
ABHD15	-0.246069119
ABHD16A	-0.336073593
ABHD2	-0.025608647
ABHD3	-0.203796826
ABHD4	-0.979072682
ABHD5	-0.424258538
ABHD6	-0.494039303
ABHD8	-0.203796826
ABI1	-0.315847836
ABI2	-0.361761279
ABI3	-0.025608647
ABI3BP	0.45374373
ABL1	-1.629711314
ABL2	-0.992035476
ABLIM1	-0.24061166
